,devise,montant,date,type_operation
0,EUR,5000,2021-09-15,Achat
1,USD,3000,2021-09-16,Vente
2,GBP,7000,2021-09-17,Achat
3,JPY,2500,2021-09-18,Vente
4,CHF,4500,2021-09-19,Achat
5,CAD,6000,2021-09-20,Vente
6,AUD,3500,2021-09-21,Achat
7,CNY,4800,2021-09-22,Vente
8,AED,5200,2021-09-23,Achat
9,INR,2700,2021-09-24,Vente
10,DKK,4100,2021-09-25,Achat
11,RUB,3800,2021-09-26,Vente
12,SEK,5900,2021-09-27,Achat
13,SGD,3200,2021-09-28,Vente
14,HKD,4300,2021-09-29,Achat
15,ZAR,7500,2021-09-30,Vente
16,KRW,3600,2021-10-01,Achat
17,BRL,4900,2021-10-02,Vente
18,NOK,6800,2021-10-03,Achat
19,MXN,2600,2021-10-04,Vente
20,TRY,5800,2021-10-05,Achat
21,ILS,3100,2021-10-06,Vente
22,MYR,4400,2021-10-07,Achat
23,SAR,5100,2021-10-08,Vente
24,NZD,4200,2021-10-09,Achat
25,IDR,3200,2021-10-10,Vente
26,QAR,4700,2021-10-11,Achat
27,HUF,6300,2021-10-12,Vente
28,PLN,3400,2021-10-13,Achat
29,THB,4600,2021-10-14,Vente
30,CZK,3900,2021-10-15,Achat
31,CLP,3700,2021-10-16,Vente
32,EGP,4000,2021-10-17,Achat
33,HUF,4300,2021-10-18,Vente
34,KWD,6500,2021-10-19,Achat
35,OMR,5400,2021-10-20,Vente
36,RSD,3100,2021-10-21,Achat
37,TND,4300,2021-10-22,Vente
38,HNL,4700,2021-10-23,Achat
39,BAM,5500,2021-10-24,Vente
40,XOF,3900,2021-10-25,Achat
41,MAD,5600,2021-10-26,Vente
42,TWD,3300,2021-10-27,Achat
43,KZT,4200,2021-10-28,Vente
44,AZN,4800,2021-10-29,Achat
45,UZS,3700,2021-10-30,Vente
