devise,montant_dh,date_operation,type_operation
Euro,11230,2022-10-15,Achat
Dollar américain,9200,2022-10-14,Vente
Livre sterling,12600,2022-10-14,Achat
Yen japonais,8450,2022-10-13,Vente
Franc suisse,10780,2022-10-12,Achat
Dollar canadien,7320,2022-10-11,Vente
Yuan chinois,6320,2022-10-11,Achat
Riyal saoudien,2020,2022-10-10,Vente
Dirham émirati,3210,2022-10-10,Achat
Rouble russe,5200,2022-10-09,Vente
Dinar algérien,960,2022-10-09,Achat
Rand sud-africain,8900,2022-10-08,Vente
Kuna croate,3650,2022-10-07,Achat
Baht thaïlandais,1100,2022-10-06,Vente
Real brésilien,4550,2022-10-06,Achat
Peso mexicain,7850,2022-10-05,Vente
Shekel israélien,2860,2022-10-05,Achat
Ringgit malaisien,1790,2022-10-04,Vente
Pula botswanais,6700,2022-10-04,Achat
Won sud-coréen,5520,2022-10-03,Vente
Krona suédoise,8200,2022-10-03,Achat
Forint hongrois,4560,2022-10-02,Vente
Kwanza angolais,3200,2022-10-01,Achat
Dinar tunisien,1250,2022-09-30,Vente
Hryvnia ukrainien,2160,2022-09-30,Achat
Roupie indienne,9500,2022-09-29,Vente
Lira turque,6100,2022-09-29,Achat
Lempira hondurien,3950,2022-09-28,Vente
Lev bulgare,4210,2022-09-28,Achat
Colon costaricain,1420,2022-09-27,Vente
Cordoba nicaraguayen,2980,2022-09-27,Achat
Kwacha zambien,7200,2022-09-26,Vente
Tugrik mongol,5300,2022-09-26,Achat
Réal brésilien,6350,2022-09-25,Vente
Peso argentin,7890,2022-09-25,Achat
Baht thaïlandais,2040,2022-09-24,Vente
Dollar australien,2760,2022-09-24,Achat
Huf hongrois,3280,2022-09-23,Vente
Kuna croate,4780,2022-09-23,Achat
Ringgit malaisien,2900,2022-09-22,Vente
Krona suédoise,8200,2022-09-22,Achat
Won sud-coréen,5520,2022-09-21,Vente
Krona suédoise,10780,2022-09-21,Achat
Dirham marocain,1000,2022-09-20,Vente
Franc suisse,5750,2022-09-20,Achat
